sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path
6558,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Purchase Invoice.JP Invoice Line.(Tax Excluded Line Extension Transaction) Amount.Currency.Code,BS01md_01,/JP10a/JP12c/BS01md_01,$.JP Purchase Invoice.JP Invoice Line.(Tax Excluded Line Extension Transaction) Amount.Currency.Code,JpPurInvoi.JpInvoiLin.TaxExclddLinExtnsnTrnsctAmt.Cur.Cd
6559,3,C,,P Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount,GE05m8,/JP10a/JP12c/GE05m8,$.JP Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount,JpPurInvoi.JpInvoiLin.TaxInclddLinExtnsnTrnsctAmt
6560,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount.Value,GE05m8_01,/JP10a/JP12c/GE05m8_01,$.JP Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount.Value,JpPurInvoi.JpInvoiLin.TaxInclddLinExtnsnTrnsctAmt.Vl
6561,4,R,,P Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount.Currency,BS01me,/JP10a/JP12c/BS01me,$.JP Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount.Currency,JpPurInvoi.JpInvoiLin.TaxInclddLinExtnsnTrnsctAmt.Cur
6562,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount.Currency.Code,BS01me_01,/JP10a/JP12c/BS01me_01,$.JP Purchase Invoice.JP Invoice Line.(Tax Included Line Extension Transaction) Amount.Currency.Code,JpPurInvoi.JpInvoiLin.TaxInclddLinExtnsnTrnsctAmt.Cur.Cd
6563,3,C,,P Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount,GE05m9,/JP10a/JP12c/GE05m9,$.JP Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount,JpPurInvoi.JpInvoiLin.TaxExclddUntPrcTrnsctAmt
6564,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount.Value,GE05m9_01,/JP10a/JP12c/GE05m9_01,$.JP Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount.Value,JpPurInvoi.JpInvoiLin.TaxExclddUntPrcTrnsctAmt.Vl
6565,4,R,,P Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount.Currency,BS01mf,/JP10a/JP12c/BS01mf,$.JP Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount.Currency,JpPurInvoi.JpInvoiLin.TaxExclddUntPrcTrnsctAmt.Cur
6566,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount.Currency.Code,BS01mf_01,/JP10a/JP12c/BS01mf_01,$.JP Purchase Invoice.JP Invoice Line.(Tax Excluded Unit Price Transaction) Amount.Currency.Code,JpPurInvoi.JpInvoiLin.TaxExclddUntPrcTrnsctAmt.Cur.Cd
6567,3,C,,P Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount,GE05ma,/JP10a/JP12c/GE05ma,$.JP Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount,JpPurInvoi.JpInvoiLin.TaxInclddUntPrcTrnsctAmt
6568,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount.Value,GE05ma_01,/JP10a/JP12c/GE05ma_01,$.JP Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount.Value,JpPurInvoi.JpInvoiLin.TaxInclddUntPrcTrnsctAmt.Vl
6569,4,R,,P Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount.Currency,BS01mg,/JP10a/JP12c/BS01mg,$.JP Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount.Currency,JpPurInvoi.JpInvoiLin.TaxInclddUntPrcTrnsctAmt.Cur
6570,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount.Currency.Code,BS01mg_01,/JP10a/JP12c/BS01mg_01,$.JP Purchase Invoice.JP Invoice Line.(Tax Included Unit Price Transaction) Amount.Currency.Code,JpPurInvoi.JpInvoiLin.TaxInclddUntPrcTrnsctAmt.Cur.Cd
6571,3,C,,P Purchase Invoice.JP Invoice Line.Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",JP,0,P Purchase Invoice.JP Invoice Line.Quantity,GE07bH,/JP10a/JP12c/GE07bH,$.JP Purchase Invoice.JP Invoice Line.Quantity,JpPurInvoi.JpInvoiLin.Qt
6572,4,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,JP,0,P Purchase Invoice.JP Invoice Line.Quantity.Value,GE07bH_01,/JP10a/JP12c/GE07bH_01,$.JP Purchase Invoice.JP Invoice Line.Quantity.Value,JpPurInvoi.JpInvoiLin.Qt.Vl
6573,4,R,,P Purchase Invoice.JP Invoice Line.Quantity.Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Purchase Invoice.JP Invoice Line.Quantity.Measurement Unit,BS02c8,/JP10a/JP12c/BS02c8,$.JP Purchase Invoice.JP Invoice Line.Quantity.Measurement Unit,JpPurInvoi.JpInvoiLin.Qt.MeaUnt
6574,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Purchase Invoice.JP Invoice Line.Quantity.Measurement Unit.UOM Code,BS02c8_01,/JP10a/JP12c/BS02c8_01,$.JP Purchase Invoice.JP Invoice Line.Quantity.Measurement Unit.UOM Code,JpPurInvoi.JpInvoiLin.Qt.MeaUnt.UomCod
6575,3,C,,P Purchase Invoice.JP Invoice Line.(Base) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",JP,0,P Purchase Invoice.JP Invoice Line.(Base) Quantity,GE07bI,/JP10a/JP12c/GE07bI,$.JP Purchase Invoice.JP Invoice Line.(Base) Quantity,JpPurInvoi.JpInvoiLin.BasQt
6576,4,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,JP,0,P Purchase Invoice.JP Invoice Line.(Base) Quantity.Value,GE07bI_01,/JP10a/JP12c/GE07bI_01,$.JP Purchase Invoice.JP Invoice Line.(Base) Quantity.Value,JpPurInvoi.JpInvoiLin.BasQt.Vl
6577,4,R,,P Purchase Invoice.JP Invoice Line.(Base) Quantity.Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Purchase Invoice.JP Invoice Line.(Base) Quantity.Measurement Unit,BS02c9,/JP10a/JP12c/BS02c9,$.JP Purchase Invoice.JP Invoice Line.(Base) Quantity.Measurement Unit,JpPurInvoi.JpInvoiLin.BasQt.MeaUnt
6578,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Purchase Invoice.JP Invoice Line.(Base) Quantity.Measurement Unit.UOM Code,BS02c9_01,/JP10a/JP12c/BS02c9_01,$.JP Purchase Invoice.JP Invoice Line.(Base) Quantity.Measurement Unit.UOM Code,JpPurInvoi.JpInvoiLin.BasQt.MeaUnt.UomCod
6579,3,R,,P Purchase Invoice.JP Invoice Line.(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Purchase Invoice.JP Invoice Line.(Credit) Ledger Account,GE24eW,/JP10a/JP12c/GE24eW,$.JP Purchase Invoice.JP Invoice Line.(Credit) Ledger Account,JpPurInvoi.JpInvoiLin.CrdtLedgrAcnt
6580,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Purchase Invoice.JP Invoice Line.(Credit) Ledger Account.Account Number,GE24eW_01,/JP10a/JP12c/GE24eW_01,$.JP Purchase Invoice.JP Invoice Line.(Credit) Ledger Account.Account Number,JpPurInvoi.JpInvoiLin.CrdtLedgrAcnt.AcntNr
6581,3,R,,P Purchase Invoice.JP Invoice Line.(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Purchase Invoice.JP Invoice Line.(Debit) Ledger Account,GE24eX,/JP10a/JP12c/GE24eX,$.JP Purchase Invoice.JP Invoice Line.(Debit) Ledger Account,JpPurInvoi.JpInvoiLin.DebtLedgrAcnt
6582,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Purchase Invoice.JP Invoice Line.(Debit) Ledger Account.Account Number,GE24eX_01,/JP10a/JP12c/GE24eX_01,$.JP Purchase Invoice.JP Invoice Line.(Debit) Ledger Account.Account Number,JpPurInvoi.JpInvoiLin.DebtLedgrAcnt.AcntNr
6583,3,C,,P Purchase Invoice.JP Invoice Line.JP Product,,0..1,,"Although ISO 21378:2019 does not define a textual name or description for inventory products, such textual information is essential for auditors to understand the context and details of the inventory. Therefore, it is recommended to add a description for each inventory product.",JP,0,P Purchase Invoice.JP Invoice Line.JP Product,JP01g,/JP10a/JP12c/JP01g,$.JP Purchase Invoice.JP Invoice Line.JP Product,JpPurInvoi.JpInvoiLin.JpPrdct
6584,4,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an inventory item.,JP,125,P Purchase Invoice.JP Invoice Line.JP Product.ID,JP01g_IV06_01,/JP10a/JP12c/JP01g_IV06_01,$.JP Purchase Invoice.JP Invoice Line.JP Product.ID,JpPurInvoi.JpInvoiLin.JpPrdct.Id
6585,4,A,,Code,Char,0..1,Char Long,The exclusive code assigned to a product within an inventory system for tracking and internal management.,JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Code,JP01g_IV06_02,/JP10a/JP12c/JP01g_IV06_02,$.JP Purchase Invoice.JP Invoice Line.JP Product.Code,JpPurInvoi.JpInvoiLin.JpPrdct.Cd
6586,4,A,,Product Group1,Char,0..1,Char Short,The primary category or classification to which a product belongs.,JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Product Group1,JP01g_IV06_03,/JP10a/JP12c/JP01g_IV06_03,$.JP Purchase Invoice.JP Invoice Line.JP Product.Product Group1,JpPurInvoi.JpInvoiLin.JpPrdct.PrdctGrp
6587,4,A,,Product Group2,Char,0..1,Char Short,The secondary category or classification to which a product belongs.,JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Product Group2,JP01g_IV06_04,/JP10a/JP12c/JP01g_IV06_04,$.JP Purchase Invoice.JP Invoice Line.JP Product.Product Group2,JpPurInvoi.JpInvoiLin.JpPrdct.PrdctGrp
6588,4,A,,Inventory Bar Code,Char,0..1,Char Medium,The barcode symbol assigned to a product for unique identification and tracking.,JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Inventory Bar Code,JP01g_IV06_05,/JP10a/JP12c/JP01g_IV06_05,$.JP Purchase Invoice.JP Invoice Line.JP Product.Inventory Bar Code,JpPurInvoi.JpInvoiLin.JpPrdct.InvBarCod
6589,4,A,,Default Costing Method,Char,0..1,Char Medium,"The method an organization uses to compute and record the financial value of inventory items, important for precise cost of goods sold reporting and inventory valuation on financial statements.",JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Default Costing Method,JP01g_IV06_06,/JP10a/JP12c/JP01g_IV06_06,$.JP Purchase Invoice.JP Invoice Line.JP Product.Default Costing Method,JpPurInvoi.JpInvoiLin.JpPrdct.DftCostngMethd
6590,4,A,,Out Of Service Date,Date,0..1,DATE,The date on which an inventory item is designated as no longer in service.,JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Out Of Service Date,JP01g_IV06_07,/JP10a/JP12c/JP01g_IV06_07,$.JP Purchase Invoice.JP Invoice Line.JP Product.Out Of Service Date,JpPurInvoi.JpInvoiLin.JpPrdct.OutOfSrvcDt
6591,4,A,,Out Of Service Indicator,Indicator,0..1,Indicator,The indicator that denotes whether an inventory item is out of service.,JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Out Of Service Indicator,JP01g_IV06_08,/JP10a/JP12c/JP01g_IV06_08,$.JP Purchase Invoice.JP Invoice Line.JP Product.Out Of Service Indicator,JpPurInvoi.JpInvoiLin.JpPrdct.OutOfSrvcInd
6592,4,A,,Lot Number,Char,0..1,Char Medium,The number for a batch of products for tracking and inventory management purposes.,JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Lot Number,JP01g_IV06_09,/JP10a/JP12c/JP01g_IV06_09,$.JP Purchase Invoice.JP Invoice Line.JP Product.Lot Number,JpPurInvoi.JpInvoiLin.JpPrdct.LotNr
6593,4,A,,Serial Number,Char,0..1,Char Medium,"The number for an individual item within a group of products, used for tracking and inventory management.",JP,125,P Purchase Invoice.JP Invoice Line.JP Product.Serial Number,JP01g_IV06_10,/JP10a/JP12c/JP01g_IV06_10,$.JP Purchase Invoice.JP Invoice Line.JP Product.Serial Number,JpPurInvoi.JpInvoiLin.JpPrdct.SerlNr
6594,4,A,,Description,Text,0..1,TAX CATEGORY CODE,A textual name or description for inventory product.,JP,0,P Purchase Invoice.JP Invoice Line.JP Product.Description,JP01g_01,/JP10a/JP12c/JP01g_01,$.JP Purchase Invoice.JP Invoice Line.JP Product.Description,JpPurInvoi.JpInvoiLin.JpPrdct.Dscr
6595,4,R,,P Purchase Invoice.JP Invoice Line.JP Product.Inventory Product Type,,0..1,,"The reference association to the Inventory Product Type class, which is a class that categorizes inventory items into types and organizes these types within a hierarchical structure.",JP,123,P Purchase Invoice.JP Invoice Line.JP Product.Inventory Product Type,IV07k,/JP10a/JP12c/IV07k,$.JP Purchase Invoice.JP Invoice Line.JP Product.Inventory Product Type,JpPurInvoi.JpInvoiLin.JpPrdct.InvPrdctTyp
6596,4,R,,P Purchase Invoice.JP Invoice Line.JP Product.(Asset) Ledger Account,,0..1,,"The reference association to the Asset Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Purchase Invoice.JP Invoice Line.JP Product.(Asset) Ledger Account,GE24eY,/JP10a/JP12c/GE24eY,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Asset) Ledger Account,JpPurInvoi.JpInvoiLin.JpPrdct.AsstLedgrAcnt
6597,5,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Purchase Invoice.JP Invoice Line.JP Product.(Asset) Ledger Account.Account Number,GE24eY_01,/JP10a/JP12c/GE24eY_01,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Asset) Ledger Account.Account Number,JpPurInvoi.JpInvoiLin.JpPrdct.AsstLedgrAcnt.AcntNr
6598,4,R,,P Purchase Invoice.JP Invoice Line.JP Product.(Cost) Ledger Account,,0..1,,"The reference association to the Cost Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Purchase Invoice.JP Invoice Line.JP Product.(Cost) Ledger Account,GE24eZ,/JP10a/JP12c/GE24eZ,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Cost) Ledger Account,JpPurInvoi.JpInvoiLin.JpPrdct.CostLedgrAcnt
6599,5,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Purchase Invoice.JP Invoice Line.JP Product.(Cost) Ledger Account.Account Number,GE24eZ_01,/JP10a/JP12c/GE24eZ_01,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Cost) Ledger Account.Account Number,JpPurInvoi.JpInvoiLin.JpPrdct.CostLedgrAcnt.AcntNr
6600,4,R,,P Purchase Invoice.JP Invoice Line.JP Product.(Basic) Measurement Unit,,0..1,,"The reference association to the Basic Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Purchase Invoice.JP Invoice Line.JP Product.(Basic) Measurement Unit,BS02ca,/JP10a/JP12c/BS02ca,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Basic) Measurement Unit,JpPurInvoi.JpInvoiLin.JpPrdct.BascMeaUnt
6601,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Purchase Invoice.JP Invoice Line.JP Product.(Basic) Measurement Unit.UOM Code,BS02ca_01,/JP10a/JP12c/BS02ca_01,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Basic) Measurement Unit.UOM Code,JpPurInvoi.JpInvoiLin.JpPrdct.BascMeaUnt.UomCod
6602,4,R,,P Purchase Invoice.JP Invoice Line.JP Product.(Default Stocking) Measurement Unit,,0..1,,"The reference association to the Default Stocking Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Purchase Invoice.JP Invoice Line.JP Product.(Default Stocking) Measurement Unit,BS02cb,/JP10a/JP12c/BS02cb,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Default Stocking) Measurement Unit,JpPurInvoi.JpInvoiLin.JpPrdct.DefltStckngMeaUnt
6603,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Purchase Invoice.JP Invoice Line.JP Product.(Default Stocking) Measurement Unit.UOM Code,BS02cb_01,/JP10a/JP12c/BS02cb_01,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Default Stocking) Measurement Unit.UOM Code,JpPurInvoi.JpInvoiLin.JpPrdct.DefltStckngMeaUnt.UomCod
6604,4,R,,P Purchase Invoice.JP Invoice Line.JP Product.(Preferred) Supplier,,0..1,,"The reference association to the Preferred Supplier class, which is a class containing essential information about suppliers.",JP,0,P Purchase Invoice.JP Invoice Line.JP Product.(Preferred) Supplier,GE22a5,/JP10a/JP12c/GE22a5,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Preferred) Supplier,JpPurInvoi.JpInvoiLin.JpPrdct.PrfrrdSupl
6605,5,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a supplier account.,JP,0,P Purchase Invoice.JP Invoice Line.JP Product.(Preferred) Supplier.Account ID,GE22a5_01,/JP10a/JP12c/GE22a5_01,$.JP Purchase Invoice.JP Invoice Line.JP Product.(Preferred) Supplier.Account ID,JpPurInvoi.JpInvoiLin.JpPrdct.PrfrrdSupl.AcntId
6606,3,C,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line,,0..1,,"A class refers to the specific entry for consumption tax within a document. It excludes the tax amount from the shared ""Tax"" definition to ensure clear distinction and accuracy in tax reporting.",JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line,JP04i,/JP10a/JP12c/JP04i,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line,JpPurInvoi.JpInvoiLin.ConsmpTxLin
6607,4,R,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Credit) Ledger Account,GE24e0,/JP10a/JP12c/GE24e0,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Credit) Ledger Account,JpPurInvoi.JpInvoiLin.ConsmpTxLin.CrdtLedgrAcnt
6608,5,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Credit) Ledger Account.Account Number,GE24e0_01,/JP10a/JP12c/GE24e0_01,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Credit) Ledger Account.Account Number,JpPurInvoi.JpInvoiLin.ConsmpTxLin.CrdtLedgrAcnt.AcntNr
6609,4,R,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Debit) Ledger Account,GE24e1,/JP10a/JP12c/GE24e1,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Debit) Ledger Account,JpPurInvoi.JpInvoiLin.ConsmpTxLin.DebtLedgrAcnt
6610,5,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Debit) Ledger Account.Account Number,GE24e1_01,/JP10a/JP12c/GE24e1_01,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Debit) Ledger Account.Account Number,JpPurInvoi.JpInvoiLin.ConsmpTxLin.DebtLedgrAcnt.AcntNr
6611,4,C,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount,GE05mb,/JP10a/JP12c/GE05mb,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount,JpPurInvoi.JpInvoiLin.ConsmpTxLin.LoclAmt
6612,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount.Value,GE05mb_01,/JP10a/JP12c/GE05mb_01,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount.Value,JpPurInvoi.JpInvoiLin.ConsmpTxLin.LoclAmt.Vl
6613,5,R,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount.Currency,BS01mh,/JP10a/JP12c/BS01mh,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount.Currency,JpPurInvoi.JpInvoiLin.ConsmpTxLin.LoclAmt.Cur
6614,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount.Currency.Code,BS01mh_01,/JP10a/JP12c/BS01mh_01,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Local) Amount.Currency.Code,JpPurInvoi.JpInvoiLin.ConsmpTxLin.LoclAmt.Cur.Cd
6615,4,C,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount,GE05mc,/JP10a/JP12c/GE05mc,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount,JpPurInvoi.JpInvoiLin.ConsmpTxLin.TrnsctAmt
6616,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount.Value,GE05mc_01,/JP10a/JP12c/GE05mc_01,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount.Value,JpPurInvoi.JpInvoiLin.ConsmpTxLin.TrnsctAmt.Vl
6617,5,R,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount.Currency,BS01mi,/JP10a/JP12c/BS01mi,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount.Currency,JpPurInvoi.JpInvoiLin.ConsmpTxLin.TrnsctAmt.Cur
6618,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount.Currency.Code,BS01mi_01,/JP10a/JP12c/BS01mi_01,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.(Transaction) Amount.Currency.Code,JpPurInvoi.JpInvoiLin.ConsmpTxLin.TrnsctAmt.Cur.Cd
6619,4,R,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.Ledger Account,,0..1,,"The reference association to the Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.Ledger Account,GE24e2,/JP10a/JP12c/GE24e2,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.Ledger Account,JpPurInvoi.JpInvoiLin.ConsmpTxLin.LedgrAcnt
6620,5,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.Ledger Account.Account Number,GE24e2_01,/JP10a/JP12c/GE24e2_01,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.Ledger Account.Account Number,JpPurInvoi.JpInvoiLin.ConsmpTxLin.LedgrAcnt.AcntNr
6621,4,C,,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.JP Tax Type,,0..1,,A class that has been updated to comply with the reporting requirements of the Japanese Tax Agency for consumption tax. This includes the inclusion of the tax category code to enhance specificity and adherence to regulatory standards.,JP,0,P Purchase Invoice.JP Invoice Line.Consumption Tax Line.JP Tax Type,JP02o,/JP10a/JP12c/JP02o,$.JP Purchase Invoice.JP Invoice Line.Consumption Tax Line.JP Tax Type,JpPurInvoi.JpInvoiLin.ConsmpTxLin.JpTxTyp
